node_count,ping_interval,distance_cm,local_sent_packets,remote_received_packets,location
2,500,150,39,40,city
2,500,300,39,39,city
2,500,300,39,39,city
2,500,300,39,40,city
2,500,300,39,40,city
2,500,300,39,40,city
2,500,500,39,39,city
2,500,500,39,40,city
2,500,500,39,40,city
2,500,500,39,40,city
2,500,500,39,40,city
2,500,800,39,22,city
2,500,800,39,19,city
2,500,800,39,12,city
2,500,800,39,29,city
2,500,800,39,40,city
2,500,10000,39,33,city
2,500,10000,39,34,city
2,500,10000,39,38,city
2,500,10000,39,40,city
2,500,10000,39,36,city
2,500,13000,39,39,city
2,500,13000,39,40,city
2,500,13000,39,38,city
2,500,13000,39,40,city
2,500,13000,39,31,city
2,800,150,24,25,city
2,800,150,24,24,city
2,800,150,24,24,city
2,800,150,24,24,city
2,800,150,24,25,city
2,800,300,24,25,city
2,800,300,24,24,city
2,800,300,24,24,city
2,800,300,24,24,city
2,800,300,24,24,city
2,800,500,24,25,city
2,800,500,24,25,city
2,800,500,24,24,city
2,800,500,24,24,city
2,800,500,24,24,city
2,800,800,24,15,city
2,800,800,24,12,city
2,800,800,24,5,city
2,800,800,24,18,city
2,800,800,24,18,city
2,800,10000,24,12,city
2,800,10000,24,11,city
2,800,10000,24,18,city
2,800,10000,24,18,city
2,800,10000,24,16,city
2,800,13000,24,23,city
2,800,13000,24,24,city
2,800,13000,24,24,city
2,800,13000,24,16,city
2,800,13000,24,24,city
2,1300,150,15,16,city
2,1300,150,15,16,city
2,1300,150,15,16,city
2,1300,150,15,16,city
2,1300,150,15,16,city
2,1300,300,15,15,city
2,1300,300,15,16,city
2,1300,300,15,15,city
2,1300,300,15,16,city
2,1300,300,15,16,city
2,1300,500,15,16,city
2,1300,500,15,16,city
2,1300,500,15,16,city
2,1300,500,15,16,city
2,1300,500,15,16,city
2,1300,800,15,5,city
2,1300,800,15,15,city
2,1300,800,15,5,city
2,1300,800,15,16,city
2,1300,800,15,9,city
2,1300,10000,15,15,city
2,1300,10000,15,16,city
